"id","id_tanya","nama","skor","urut"
1,2,Ada,15.0,0.0
2,2,Tidak Ada,0.0,0.0
3,3,Sesuai,15.0,0.0
4,3,Tidak Sesuai,0.0,0.0
5,5,"1 Orang",5.0,0.0
6,5,"2 Orang",10.0,0.0
7,6,"1 Orang",5.0,0.0
8,6,"2 Orang",10.0,0.0
9,6,"3 Orang",0.0,0.0
10,6,"4 Orang",0.0,0.0
11,7,"1-2 Kali",2.0,0.0
12,7,"3-4 Kali",4.0,0.0
13,7,"5-6 Kali",10.0,0.0
14,8,"1-2 Kali",2.0,0.0
15,8,"3-4 Kali",4.0,0.0
16,8,"5-6 Kali",10.0,0.0
17,9,"1-2 Kali",2.0,0.0
18,9,"3-4 Kali",4.0,0.0
19,9,"5-6 Kali",10.0,0.0
20,10,Kurang dari 7 hari,15.0,0.0
21,10,Tepat 7 hari,0.0,0.0
22,10,Lebih dari 7 hari,5.0,0.0
23,11,Kurang dari 8 hari,15.0,0.0
24,11,Tepat 8 hari,0.0,0.0
25,11,Lebih dari 8 hari,5.0,0.0
28,14,Sesuai,50.0,0.0
29,14,Tidak Sesuai,0.0,0.0
30,16,Paham,100.0,0.0
31,16,Kurang Paham,50.0,0.0
44,28,"1 Kabupaten",0.0,0.0
45,29,"1 Kecamatan",1.0,0.0
46,29,"2 Kecamatan",5.0,0.0
47,29,"3 Kecamatan",10.0,0.0
48,30,"1-10 Desa",1.0,0.0
49,30,"11-20 Desa",10.0,0.0
50,30,"21-30 Desa",10.0,0.0
55,34,"5 Unit",7.0,0.0
56,34,"3 Unit",4.0,0.0
57,34,"1 Unit",2.0,0.0
58,34,Tidak Ada,0.0,0.0
59,37,Sewa,0.0,0.0
60,37,Milik Sendiri,0.0,0.0
61,41,Terawat,10.0,0.0
62,41,Kurang Terawat,0.0,0.0
63,42,Memadai,10.0,0.0
64,42,Kurang Memadai,2.0,0.0
118,70,Perlu Perbaikan,0.0,0.0
119,70,Tidak Disetujui Perbaikan,0.0,0.0
120,30,>30 Desa,15.0,0.0
121,74,"Ada, Baik",3.0,0.0
122,74,"Ada, Rusak",2.0,0.0
123,74,Tidak Ada,1.0,0.0
124,75,"Ada, Baik",3.0,0.0
125,75,"Ada, Rusak",2.0,0.0
126,75,Tidak Ada,1.0,0.0
127,76,"Ada, Baik",3.0,0.0
128,76,"Ada, Rusak",2.0,0.0
129,76,Tidak Ada,1.0,0.0
130,77,"Ada, Baik",3.0,0.0
131,77,"Ada, Rusak",2.0,0.0
132,77,Tidak Ada,1.0,0.0
133,78,"Ada, Baik",3.0,0.0
134,78,"Ada, Rusak",2.0,0.0
135,78,Tidak Ada,1.0,0.0
136,79,"Ada, Baik",3.0,0.0
137,79,"Ada, Rusak",2.0,0.0
138,79,Tidak Ada,1.0,0.0
139,80,"Ada, Baik",3.0,0.0
140,80,"Ada, Rusak",2.0,0.0
141,80,Tidak Ada,1.0,0.0
142,81,"Ada, Baik",3.0,0.0
143,81,"Ada, Rusak",2.0,0.0
144,81,Tidak Ada,1.0,0.0
145,82,"Ada, Baik",3.0,0.0
146,82,"Ada, Rusak",2.0,0.0
147,82,Tidak Ada,1.0,0.0
148,83,"Ada, Baik",3.0,0.0
149,83,"Ada, Rusak",2.0,0.0
150,83,Tidak Ada,1.0,0.0
151,84,"Ada, Baik",3.0,0.0
152,84,"Ada, Rusak",2.0,0.0
153,84,Tidak Ada,1.0,0.0
154,85,"Ada, Baik",3.0,0.0
155,85,"Ada, Rusak",2.0,0.0
156,85,Tidak Ada,1.0,0.0
157,86,"Ada, Baik",3.0,0.0
158,86,"Ada, Rusak",2.0,0.0
159,86,Tidak Ada,1.0,0.0
160,68,Papan Nama Kantor,0.0,0.0
161,68,Pagar Kantor,0.0,0.0
162,68,Kebocoran Atap Kantor,0.0,0.0
163,68,Toilet Kantor,0.0,0.0
164,68,Instalasi Listrik,0.0,0.0
165,68,Instalasi Air,0.0,0.0
166,68,Pengecatan Ruang Kantor,0.0,0.0
167,68,Halaman Parkir Kantor,0.0,0.0
